lng,lat,hotel_address
16.347119,48.210918,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria
16.39411,48.218213,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria
16.357513,48.222139,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria
2.351556,48.856663,4 rue de la P pini re 8th arr 75008 Paris France
16.36346,48.206487,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria
16.357513,48.222139,W hringer Stra e 12 09 Alsergrund 1090 Vienna Austria
16.297308,48.211783,Savoyenstra e 2 16 Ottakring 1160 Vienna Austria
1.655829,41.396133,Bail n 4 6 Eixample 08010 Barcelona Spain
16.341397,48.245935,Sieveringer Stra e 4 19 D bling 1190 Vienna Austria
16.357513,48.222139,Gr nentorgasse 30 09 Alsergrund 1090 Vienna Austria
2.351556,48.856663,23 Rue Damr mont 18th arr 75018 Paris France
15.65565,48.778035,Hasenauerstra e 12 19 D bling 1190 Vienna Austria
16.347119,48.210918,Josefst dter Stra e 22 08 Josefstadt 1080 Vienna Austria
16.413999,48.176599,Paragonstra e 1 11 Simmering 1110 Vienna Austria
2.330948,48.838331,20 Rue De La Ga t 14th arr 75014 Paris France
2.181864,41.425226,Sep lveda 180 Eixample 08011 Barcelona Spain
2.245959,41.504994,Pau Clar s 122 Eixample 08009 Barcelona Spain
